CacheSize:1	LRUCacheInDistanceS2T:0.05125	LRUCacheInDistanceT2S:0.0186	LRUCacheInDistanceEqual:0.050825	TLACCacheInDistanceS2T:0.045225	TLACCacheInDistanceT2S:0.053175	TLACCacheInDistanceEqual:0.07415	LRUtargetFunValueS2T:-15959.1	LRUtargetFuncValueT2S:-15959.9	LRUtargetFuncValueEqual:-15959.8	TLACtargetFunValueS2T:-15960	TLACtargetFuncValueT2S:-15960	TLACtargetFuncValueEqual:-15960	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.39475e-05 8.22224e-05 0.000103262 0.000123465 0.00014544 0.000170593 0.000200248 0.000235978 0.000279857 0.000334754 0.000404805 0.000496165 0.00061834 0.000786634 0.00102693 0.00138572 0.00195322 0.00292286 0.00477085 0.0089347 	TLACCacheProbT2S:0.00573983 0.00498365 0.0032735 0.00228238 0.00167271 0.00127435 0.00100092 0.000805634 0.000661559 0.000552377 0.000467752 0.000400891 0.000347186 0.000303425 0.000267314 0.000237182 0.00021179 0.000190199 0.000171695 0.000155719 	TLACCacheProbEqual:0.000556003 0.00102665 0.00111295 0.00116381 0.00120001 0.00122813 0.00125113 0.00127059 0.00128746 0.00130235 0.00131566 0.00132771 0.00133872 0.00134884 0.00135822 0.00136695 0.00137511 0.00138278 0.00139002 0.00139686 
CacheSize:2	LRUCacheInDistanceS2T:0.05875	LRUCacheInDistanceT2S:0.0318	LRUCacheInDistanceEqual:0.058625	TLACCacheInDistanceS2T:0.071525	TLACCacheInDistanceT2S:0.0790625	TLACCacheInDistanceEqual:0.105763	LRUtargetFunValueS2T:-31899	LRUtargetFuncValueT2S:-31900	LRUtargetFuncValueEqual:-31899.8	TLACtargetFunValueS2T:-31900.1	TLACtargetFuncValueT2S:-31900.1	TLACtargetFuncValueEqual:-31900.1	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.40011e-05 8.22567e-05 0.000103295 0.000123497 0.000145472 0.000170626 0.000200282 0.000236013 0.000279893 0.000334792 0.000404845 0.000496205 0.00061838 0.000786675 0.00102696 0.00138575 0.00195323 0.00292283 0.00477071 0.00893425 	TLACCacheProbT2S:0.00574112 0.00498333 0.00327324 0.0022822 0.00167258 0.00127426 0.00100085 0.000805577 0.000661514 0.000552342 0.000467723 0.000400868 0.000347167 0.000303409 0.000267301 0.000237171 0.000211781 0.000190192 0.000171688 0.000155714 	TLACCacheProbEqual:0.00055634 0.00102676 0.00111301 0.00116385 0.00120003 0.00122814 0.00125113 0.00127058 0.00128744 0.00130232 0.00131563 0.00132768 0.00133868 0.00134879 0.00135817 0.00136689 0.00137505 0.00138272 0.00138995 0.00139679 
CacheSize:3	LRUCacheInDistanceS2T:0.05875	LRUCacheInDistanceT2S:0.041375	LRUCacheInDistanceEqual:0.058475	TLACCacheInDistanceS2T:0.084875	TLACCacheInDistanceT2S:0.0928125	TLACCacheInDistanceEqual:0.118763	LRUtargetFunValueS2T:-47799.1	LRUtargetFuncValueT2S:-47799.8	LRUtargetFuncValueEqual:-47799.7	TLACtargetFunValueS2T:-47799.7	TLACtargetFuncValueT2S:-47800.1	TLACtargetFuncValueEqual:-47800	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.40544e-05 8.22909e-05 0.000103328 0.000123529 0.000145505 0.000170659 0.000200315 0.000236048 0.000279929 0.000334831 0.000404885 0.000496245 0.000618421 0.000786716 0.001027 0.00138578 0.00195324 0.0029228 0.00477058 0.00893382 	TLACCacheProbT2S:0.0057424 0.00498299 0.00327297 0.00228201 0.00167244 0.00127415 0.00100077 0.000805517 0.000661467 0.000552305 0.000467694 0.000400845 0.000347147 0.000303392 0.000267287 0.00023716 0.000211771 0.000190184 0.000171682 0.000155708 	TLACCacheProbEqual:0.000556672 0.00102686 0.00111307 0.00116389 0.00120005 0.00122815 0.00125113 0.00127057 0.00128742 0.00130229 0.0013156 0.00132764 0.00133863 0.00134874 0.00135811 0.00136683 0.00137499 0.00138265 0.00138988 0.00139672 
CacheSize:4	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.0466375	LRUCacheInDistanceEqual:0.0599875	TLACCacheInDistanceS2T:0.094125	TLACCacheInDistanceT2S:0.099375	TLACCacheInDistanceEqual:0.1208	LRUtargetFunValueS2T:-63659.2	LRUtargetFuncValueT2S:-63660	LRUtargetFuncValueEqual:-63660	TLACtargetFunValueS2T:-63660.3	TLACtargetFuncValueT2S:-63659.9	TLACtargetFuncValueEqual:-63660	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.41075e-05 8.23248e-05 0.00010336 0.000123561 0.000145536 0.000170692 0.000200349 0.000236082 0.000279964 0.000334868 0.000404923 0.000496285 0.000618461 0.000786757 0.00102704 0.00138581 0.00195326 0.00292277 0.00477044 0.00893338 	TLACCacheProbT2S:0.00574374 0.00498272 0.00327276 0.00228185 0.00167233 0.00127407 0.00100071 0.000805471 0.000661432 0.000552276 0.00046767 0.000400826 0.000347133 0.00030338 0.000267277 0.000237152 0.000211764 0.000190178 0.000171677 0.000155704 	TLACCacheProbEqual:0.000557008 0.00102698 0.00111315 0.00116394 0.00120008 0.00122817 0.00125114 0.00127057 0.00128741 0.00130227 0.00131558 0.00132761 0.0013386 0.00134871 0.00135807 0.00136678 0.00137494 0.0013826 0.00138982 0.00139666 
CacheSize:5	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.049875	LRUCacheInDistanceEqual:0.059925	TLACCacheInDistanceS2T:0.09945	TLACCacheInDistanceT2S:0.105888	TLACCacheInDistanceEqual:0.1237	LRUtargetFunValueS2T:-79479.4	LRUtargetFuncValueT2S:-79479.7	LRUtargetFuncValueEqual:-79480.2	TLACtargetFunValueS2T:-79479.9	TLACtargetFuncValueT2S:-79480	TLACtargetFuncValueEqual:-79479.9	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.41603e-05 8.23588e-05 0.000103392 0.000123593 0.000145568 0.000170725 0.000200383 0.000236117 0.00028 0.000334907 0.000404964 0.000496328 0.000618503 0.0007868 0.00102708 0.00138585 0.00195328 0.00292275 0.00477033 0.00893297 	TLACCacheProbT2S:0.00574501 0.00498241 0.00327251 0.00228167 0.0016722 0.00127398 0.00100063 0.000805417 0.000661391 0.000552242 0.000467642 0.000400804 0.000347116 0.000303364 0.000267266 0.000237141 0.000211755 0.000190172 0.000171671 0.000155699 	TLACCacheProbEqual:0.000557334 0.00102708 0.0011132 0.00116398 0.0012001 0.00122817 0.00125114 0.00127056 0.00128738 0.00130224 0.00131554 0.00132757 0.00133855 0.00134866 0.00135801 0.00136672 0.00137487 0.00138252 0.00138975 0.00139658 
CacheSize:6	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.05365	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.101663	TLACCacheInDistanceT2S:0.109975	TLACCacheInDistanceEqual:0.122488	LRUtargetFunValueS2T:-95259.7	LRUtargetFuncValueT2S:-95260.1	LRUtargetFuncValueEqual:-95259.7	TLACtargetFunValueS2T:-95260.1	TLACtargetFuncValueT2S:-95260.1	TLACtargetFuncValueEqual:-95259.7	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.42128e-05 8.23922e-05 0.000103424 0.000123624 0.000145599 0.000170757 0.000200415 0.000236151 0.000280034 0.000334943 0.000405001 0.000496367 0.00061854 0.000786837 0.00102712 0.00138587 0.00195329 0.00292271 0.00477017 0.0089325 	TLACCacheProbT2S:0.00574626 0.00498207 0.00327224 0.00228149 0.00167206 0.00127388 0.00100056 0.00080536 0.000661347 0.000552205 0.000467612 0.00040078 0.000347097 0.000303347 0.000267253 0.00023713 0.000211745 0.000190164 0.000171665 0.000155693 	TLACCacheProbEqual:0.000557664 0.00102719 0.00111327 0.00116402 0.00120012 0.00122818 0.00125114 0.00127056 0.00128737 0.00130222 0.00131551 0.00132753 0.00133851 0.00134862 0.00135796 0.00136666 0.00137481 0.00138246 0.00138968 0.00139651 
CacheSize:7	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.055225	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.108125	TLACCacheInDistanceT2S:0.110737	TLACCacheInDistanceEqual:0.12375	LRUtargetFunValueS2T:-110999	LRUtargetFuncValueT2S:-111000	LRUtargetFuncValueEqual:-111000	TLACtargetFunValueS2T:-111000	TLACtargetFuncValueT2S:-111000	TLACtargetFuncValueEqual:-111000	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.42647e-05 8.2426e-05 0.000103456 0.000123655 0.000145631 0.000170789 0.000200448 0.000236186 0.00028007 0.00033498 0.000405041 0.000496407 0.000618583 0.000786877 0.00102716 0.0013859 0.00195331 0.00292268 0.00477005 0.00893211 	TLACCacheProbT2S:0.00574755 0.00498177 0.003272 0.00228133 0.00167195 0.00127379 0.00100049 0.000805307 0.000661306 0.000552174 0.000467589 0.00040076 0.00034708 0.000303335 0.000267242 0.00023712 0.000211736 0.000190157 0.000171659 0.000155689 	TLACCacheProbEqual:0.000557994 0.00102729 0.00111333 0.00116407 0.00120015 0.0012282 0.00125114 0.00127055 0.00128735 0.00130219 0.00131548 0.0013275 0.00133847 0.00134857 0.00135792 0.00136661 0.00137475 0.0013824 0.00138962 0.00139645 
CacheSize:8	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.0563875	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.109663	TLACCacheInDistanceT2S:0.113862	TLACCacheInDistanceEqual:0.12375	LRUtargetFunValueS2T:-126699	LRUtargetFuncValueT2S:-126700	LRUtargetFuncValueEqual:-126700	TLACtargetFunValueS2T:-126700	TLACtargetFuncValueT2S:-126700	TLACtargetFuncValueEqual:-126700	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.43157e-05 8.24592e-05 0.000103488 0.000123687 0.000145664 0.000170819 0.00020048 0.000236219 0.000280107 0.000335014 0.000405079 0.000496443 0.000618619 0.000786911 0.0010272 0.00138592 0.00195333 0.00292264 0.00476992 0.00893167 	TLACCacheProbT2S:0.00574882 0.00498148 0.00327177 0.00228116 0.00167183 0.00127369 0.00100042 0.00080525 0.000661262 0.000552142 0.000467567 0.00040074 0.000347061 0.000303323 0.000267232 0.000237111 0.000211728 0.00019015 0.000171652 0.000155685 	TLACCacheProbEqual:0.000558314 0.0010274 0.00111339 0.0011641 0.00120017 0.00122821 0.00125112 0.00127053 0.00128732 0.00130216 0.00131544 0.00132746 0.00133843 0.00134852 0.00135786 0.00136655 0.00137469 0.00138234 0.00138956 0.00139638 
CacheSize:9	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.0577625	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.2186	TLACCacheInDistanceT2S:0.188575	TLACCacheInDistanceEqual:0.166737	LRUtargetFunValueS2T:-142360	LRUtargetFuncValueT2S:-142360	LRUtargetFuncValueEqual:-142360	TLACtargetFunValueS2T:-142360	TLACtargetFuncValueT2S:-142361	TLACtargetFuncValueEqual:-142360	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.43663e-05 8.24922e-05 0.000103519 0.000123718 0.000145696 0.00017085 0.000200512 0.000236253 0.000280143 0.000335049 0.000405117 0.00049648 0.000618657 0.000786946 0.00102724 0.00138594 0.00195334 0.00292261 0.0047698 0.00893127 	TLACCacheProbT2S:0.00575005 0.00498117 0.00327153 0.00228098 0.00167171 0.00127359 0.00100034 0.00080519 0.000661216 0.000552107 0.000467543 0.000400717 0.000347041 0.00030331 0.00026722 0.0002371 0.000211718 0.000190141 0.000171644 0.000155681 	TLACCacheProbEqual:0.000558633 0.00102751 0.00111345 0.00116415 0.0012002 0.00122823 0.00125112 0.00127051 0.0012873 0.00130213 0.00131541 0.00132743 0.00133839 0.00134848 0.00135782 0.00136651 0.00137464 0.00138229 0.0013895 0.00139632 
CacheSize:10	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.0582375	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.239762	TLACCacheInDistanceT2S:0.207912	TLACCacheInDistanceEqual:0.1785	LRUtargetFunValueS2T:-157979	LRUtargetFuncValueT2S:-157979	LRUtargetFuncValueEqual:-157980	TLACtargetFunValueS2T:-157980	TLACtargetFuncValueT2S:-157980	TLACtargetFuncValueEqual:-157981	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.4417e-05 8.25252e-05 0.000103551 0.00012375 0.000145728 0.00017088 0.000200543 0.000236286 0.000280179 0.000335083 0.000405155 0.000496516 0.000618693 0.00078698 0.00102727 0.00138596 0.00195336 0.00292258 0.00476968 0.00893083 	TLACCacheProbT2S:0.00575131 0.00498088 0.0032713 0.00228082 0.00167159 0.00127349 0.00100027 0.000805133 0.000661172 0.000552075 0.00046752 0.000400697 0.000347022 0.000303298 0.000267209 0.000237091 0.00021171 0.000190134 0.000171638 0.000155678 	TLACCacheProbEqual:0.000558953 0.00102762 0.00111351 0.00116419 0.00120023 0.00122825 0.00125111 0.0012705 0.00128728 0.00130211 0.00131538 0.00132739 0.00133835 0.00134844 0.00135777 0.00136645 0.00137459 0.00138223 0.00138944 0.00139625 
CacheSize:11	LRUCacheInDistanceS2T:0.06	LRUCacheInDistanceT2S:0.059075	LRUCacheInDistanceEqual:0.06	TLACCacheInDistanceS2T:0.242512	TLACCacheInDistanceT2S:0.222363	TLACCacheInDistanceEqual:0.178725	LRUtargetFunValueS2T:-173559	LRUtargetFuncValueT2S:-173560	LRUtargetFuncValueEqual:-173559	TLACtargetFunValueS2T:-173560	TLACtargetFuncValueT2S:-173559	TLACtargetFuncValueEqual:-173561	LRUCacheProb:0.0229839 0.000560584 0.000283752 0.00018995 0.000142757 0.000114348 9.53691e-05 8.17934e-05 7.16011e-05 6.36675e-05 5.73166e-05 5.21178e-05 4.77837e-05 4.41151e-05 4.09696e-05 3.82428e-05 3.58564e-05 3.37503e-05 3.18779e-05 3.02023e-05 	TLACCacheProbS2T:2.44672e-05 8.25579e-05 0.000103582 0.000123781 0.00014576 0.00017091 0.000200575 0.00023632 0.000280215 0.000335117 0.000405193 0.000496552 0.000618729 0.000787014 0.00102731 0.00138598 0.00195337 0.00292255 0.00476956 0.00893042 	TLACCacheProbT2S:0.00575253 0.00498057 0.00327106 0.00228064 0.00167146 0.00127339 0.0010002 0.000805073 0.000661126 0.00055204 0.000467496 0.000400674 0.000347002 0.000303284 0.000267197 0.00023708 0.0002117 0.000190125 0.00017163 0.000155674 	TLACCacheProbEqual:0.000559266 0.00102772 0.00111356 0.00116422 0.00120025 0.00122826 0.00125109 0.00127047 0.00128725 0.00130207 0.00131534 0.00132735 0.0013383 0.00134839 0.00135772 0.0013664 0.00137453 0.00138217 0.00138937 0.00139618 
